scenario_id,content_file,asset_name,asset_description,expected_license_uri
SCENARIO-018,test_content_files/ad_holo_billboard.glb,Holo-Ad Billboard,"A 3D model for an in-game advertisement. For use only in the 'Neon City' game world.","https://metaverse.myplatform.com/licenses/platform-exclusive-asset-v1"
SCENARIO-019,test_content_files/art_final_concept.jpg,Final Game Concept Art,"This is a finished piece of concept art. I want it to be used as a visual reference in blog posts or video essays analyzing our game's art style. Users must give me credit as the artist, but they are not permitted to alter, crop, or remix the image in any way. It must be presented as is.","https://creativecommons.org/licenses/by-nd/4.0/"
SCENARIO-020,test_content_files/music_exclusive_beat.mp3,Exclusive Beat,"An exclusive music track for 'Artist X'. No one else can use it. Full rights transfer.","https://metaverse.myplatform.com/licenses/exclusive-commercial-transfer-v1"
SCENARIO-021,test_content_files/pack_voxel_assets.zip,Voxel Asset Pack,"A pack of 100 voxel models. Free for any use, no strings attached.","https://creativecommons.org/publicdomain/zero/1.0/"
SCENARIO-022,test_content_files/lib_procedural_gen.zip,Procedural Generation Library,"This is a code library for procedural generation. Developers can use it in any of their projects, including commercial ones. However, if they modify this library and integrate it into a released product, they are required to also release their modifications under the same open-source terms. The goal is to ensure the library and its derivatives remain free for all to use and modify.","https://www.gnu.org/licenses/gpl-3.0.en.html"
SCENARIO-023,test_content_files/print_limited_edition.png,Limited Edition Print,"A digital print, only 100 copies will be minted. For personal display only.","https://metaverse.myplatform.com/licenses/personal-use-only-v1"
SCENARIO-024,test_content_files/kit_game_ui.zip,Game UI Kit,"A set of UI elements. Can be used in commercial games, but credit to 'UI-Masters' is required.","https://creativecommons.org/licenses/by/4.0/"
SCENARIO-025,test_content_files/video_corporate_training.mp4,Corporate Training Video,"An internal training video for 'Corp Inc.'. Highly confidential and not for distribution.","https://metaverse.myplatform.com/licenses/all-rights-reserved-v1"
SCENARIO-026,test_content_files/kit_dungeon_modular_v2.zip,Modular Dungeon Kit,"This is a 3D kit for building modular dungeons. It can be used in any project, commercial or otherwise, provided attribution is given. If you create new pieces by modifying these assets (e.g., a new wall type), you must distribute those new derivative pieces under the exact same license terms.","https://creativecommons.org/licenses/by-sa/4.0/"
SCENARIO-027,test_content_files/sfx_city_ambience.mp3,City Ambience SFX,"A sound effect of city noise. Royalty-free after purchase.","https://metaverse.myplatform.com/licenses/nonexclusive-royaltyfree-music-v1"
SCENARIO-028,test_content_files/text_blog_post.txt,My Personal Blog Post,"A text file of a blog post. Anyone can quote it or reference it for non-commercial commentary, but not copy it whole.","https://creativecommons.org/licenses/by-nc-nd/4.0/"
SCENARIO-029,test_content_files/logo_open_source.svg,Open Source Logo,"A logo for an open source project. Free to use to promote the project, but not for other commercial uses.","https://metaverse.myplatform.com/licenses/trademark-use-only-v1"
SCENARIO-030,test_content_files/art_genesis_block.png,The Genesis Block NFT,"A piece of art representing a blockchain's first block. A single unique item for a collector.","https://metaverse.myplatform.com/licenses/unique-collectible-commercial-owner-v1"
